ID,Palabra_ES,Categoria,Genero,Traduccion_EN,Traducciones_alt,Frase_ejemplo,Tema,Imagen,Audio
ec10b554,dueño,noun,♂,owner,,El dueño del restaurante atiende personalmente a los clientes.,trabajo,"<img src=""ec10b554.jpg"">",[sound:ec10b554.mp3]
e1ff0b46,encantador,noun,♂,charming,,Todos piensan que su nuevo jefe es encantador.,cualidades_generales,"<img src=""e1ff0b46.jpg"">",[sound:e1ff0b46.mp3]
ef72f789,esposa,noun,♀,wife,,Su esposa trabaja como abogada en el centro de la ciudad.,familia,"<img src=""ef72f789.jpg"">",[sound:ef72f789.mp3]
2fbe167b,esposo,noun,♂,spouse,,Su esposo la acompañó al aeropuerto esta mañana.,familia,"<img src=""2fbe167b.jpg"">",[sound:2fbe167b.mp3]
2a9480c6,familia,noun,♀,family,,Toda la familia se reúne para cenar los domingos.,familia,"<img src=""2a9480c6.jpg"">",[sound:2a9480c6.mp3]
f146750e,gente,noun,♀,people,,Había mucha gente esperando en el aeropuerto.,familia,"<img src=""f146750e.jpg"">",[sound:f146750e.mp3]
61b1e7f4,gigante,noun,♂,giant,,Le pareció un gigante amable a pesar de su tamaño.,cualidades_generales,"<img src=""61b1e7f4.jpg"">",[sound:61b1e7f4.mp3]
1dc40a7e,gordo,noun,♂,fat guy,,Le pusieron de apodo 'el gordo' desde que eran niños.,cualidades_generales,"<img src=""1dc40a7e.jpg"">",[sound:1dc40a7e.mp3]
f705d354,hermana,noun,♀,sister,,Su hermana vive en otra ciudad desde hace dos años.,familia,"<img src=""f705d354.jpg"">",[sound:f705d354.mp3]
330b3f0d,hermano,noun,♂,brother,,Su hermano lo ayudó a mudarse el fin de semana pasado.,familia,"<img src=""330b3f0d.jpg"">",[sound:330b3f0d.mp3]
48f806dc,hija,noun,♀,daughter,,Su hija empieza la universidad este otoño.,familia,"<img src=""48f806dc.jpg"">",[sound:48f806dc.mp3]
31b397e3,hijo,noun,♂,son,,Su hijo consiguió trabajo en una empresa de tecnología.,familia,"<img src=""31b397e3.jpg"">",[sound:31b397e3.mp3]
cadd04f8,hombre,noun,♂,men,man,El hombre esperaba el autobús frente a la oficina.,familia,"<img src=""cadd04f8.jpg"">",[sound:cadd04f8.mp3]
4eaf5b12,héroe,noun,♂,hero,,Lo consideran un héroe por salvar a los pasajeros del accidente.,cualidades_generales,"<img src=""4eaf5b12.jpg"">",[sound:4eaf5b12.mp3]
72d77057,idiota,noun,♀,idiot,,Se sintió como un idiota después de cometer ese error.,cualidades_generales,"<img src=""72d77057.jpg"">",[sound:72d77057.mp3]
23eb0646,joven,noun,⚥,young,,El joven consiguió su primer trabajo después de graduarse.,familia,"<img src=""23eb0646.jpg"">",[sound:23eb0646.mp3]
43ee1d83,madame,noun,♂,madame,,"En el hotel de París, todos se dirigían a ella como madame.",familia,"<img src=""43ee1d83.jpg"">",[sound:43ee1d83.mp3]
2309f522,madre,noun,♀,mother,,Su madre la llamó para preguntar cómo le fue en la entrevista.,familia,"<img src=""2309f522.jpg"">",[sound:2309f522.mp3]
d3fe7aca,mamá,noun,♀,mom,,Mi mamá prepara el desayuno todos los días.,familia,"<img src=""d3fe7aca.jpg"">",[sound:d3fe7aca.mp3]
01a9a093,marido,noun,♂,husband,,Su marido cocina la cena casi todas las noches.,familia,"<img src=""01a9a093.jpg"">",[sound:01a9a093.mp3]
ee6cdf30,matrimonio,noun,♂,marriage,,Llevan quince años de matrimonio y siguen muy enamorados.,familia,"<img src=""ee6cdf30.jpg"">",[sound:ee6cdf30.mp3]
3c485c0f,miembro,noun,♂,member,,Cada miembro de la familia ayuda con las tareas de la casa.,familia,"<img src=""3c485c0f.jpg"">",[sound:3c485c0f.mp3]
ac22ee91,muchacha,noun,♀,girl,,La muchacha ayudó a los turistas a encontrar el hotel.,familia,"<img src=""ac22ee91.jpg"">",[sound:ac22ee91.mp3]
73c4219f,muchacho,noun,♂,boy,,El muchacho llevaba las maletas de sus abuelos.,familia,"<img src=""73c4219f.jpg"">",[sound:73c4219f.mp3]
c1d9e760,mujer,noun,♀,women,woman,La mujer dirige su propia empresa desde hace cinco años.,familia,"<img src=""c1d9e760.jpg"">",[sound:c1d9e760.mp3]
b4030b09,niña,noun,♀,girl,,La niña sonrió cuando vio a su papá llegar a casa.,familia,"<img src=""b4030b09.jpg"">",[sound:b4030b09.mp3]
66e2d69f,niño,noun,♂,child,,El niño aprendió a nadar este verano.,familia,"<img src=""66e2d69f.jpg"">",[sound:66e2d69f.mp3]
f75f175d,novia,noun,♀,bride,,Presentó a su novia a sus padres el fin de semana.,familia,"<img src=""f75f175d.jpg"">",[sound:f75f175d.mp3]
540b7298,novio,noun,♂,boyfriend,,Su novio la sorprendió con un viaje a la playa.,familia,"<img src=""540b7298.jpg"">",[sound:540b7298.mp3]
41409f34,padre,noun,♂,father,,Su padre trabaja como ingeniero en una empresa grande.,familia,"<img src=""41409f34.jpg"">",[sound:41409f34.mp3]
3f73aa73,papá,noun,♂,dad,,Mi papá me enseñó a conducir el año pasado.,familia,"<img src=""3f73aa73.jpg"">",[sound:3f73aa73.mp3]
2283064f,pareja,noun,♀,couple,,Su pareja lo apoya mucho en su carrera profesional.,familia,"<img src=""2283064f.jpg"">",[sound:2283064f.mp3]
8e406fea,persona,noun,♀,person,,Es una persona muy trabajadora y puntual.,familia,"<img src=""8e406fea.jpg"">",[sound:8e406fea.mp3]
25c8fd75,primo,noun,♂,cousin,,Su primo vino de visita durante las vacaciones.,familia,"<img src=""25c8fd75.jpg"">",[sound:25c8fd75.mp3]
feda6365,relación,noun,♀,relationship,,Llevan una relación estable desde hace tres años.,familia,"<img src=""feda6365.jpg"">",[sound:feda6365.mp3]
636d61cf,responsable,noun,⚥,responsible,,El responsable del proyecto explicó los retrasos en la reunión.,cualidades_generales,"<img src=""636d61cf.jpg"">",[sound:636d61cf.mp3]
528059d6,señor,noun,♂,sir,,El señor de la tienda le dio las gracias por su compra.,familia,"<img src=""528059d6.jpg"">",[sound:528059d6.mp3]
67dffea7,señora,noun,♀,madam,,La señora esperaba pacientemente en la sala de espera.,familia,"<img src=""67dffea7.jpg"">",[sound:67dffea7.mp3]
ac642e99,señorita,noun,♀,miss,,La señorita de la recepción le indicó dónde firmar.,familia,"<img src=""ac642e99.jpg"">",[sound:ac642e99.mp3]
c32ad523,tío,noun,♂,uncle,dude,Su tío le regaló un libro por su cumpleaños.,familia,"<img src=""c32ad523.jpg"">",[sound:c32ad523.mp3]
e1c06fd9,vecino,noun,♂,neighbor,,Mi vecino riega las plantas cuando estoy de viaje.,casa,"<img src=""e1c06fd9.jpg"">",[sound:e1c06fd9.mp3]
e9c22805,yerno,noun,♂,son-in-law,,Su yerno trabaja en la misma empresa que él.,familia,"<img src=""e9c22805.jpg"">",[sound:e9c22805.mp3]
38c6c9fb,boca,noun,♀,mouth,,Abrió la boca para que el dentista pudiera revisarla.,cuerpo_salud,"<img src=""38c6c9fb.jpg"">",[sound:38c6c9fb.mp3]
d4276a6b,brazo,noun,♂,arm,,Se rompió el brazo jugando baloncesto.,cuerpo_salud,"<img src=""d4276a6b.jpg"">",[sound:d4276a6b.mp3]
f6852c8e,cabello,noun,♂,hair,,Tiene el cabello largo y oscuro.,cuerpo_salud,"<img src=""f6852c8e.jpg"">",[sound:f6852c8e.mp3]
45963e6c,cabeza,noun,♀,head,,Le duele la cabeza después de un día largo de trabajo.,cuerpo_salud,"<img src=""45963e6c.jpg"">",[sound:45963e6c.mp3]
ede31907,cara,noun,♀,face,,Se lavó la cara antes de salir de casa.,cuerpo_salud,"<img src=""ede31907.jpg"">",[sound:ede31907.mp3]
ef1cb281,cerebro,noun,♂,brain,,Los médicos estudian cómo funciona el cerebro humano.,cuerpo_salud,"<img src=""ef1cb281.jpg"">",[sound:ef1cb281.mp3]
0ec846e8,corazón,noun,♂,heart,,El médico escuchó los latidos de su corazón con el estetoscopio.,cuerpo_salud,"<img src=""0ec846e8.jpg"">",[sound:0ec846e8.mp3]
135df630,cuello,noun,♂,neck,,Lleva una bufanda para proteger el cuello del frío.,cuerpo_salud,"<img src=""135df630.jpg"">",[sound:135df630.mp3]
10a27e92,cuerpo,noun,♂,body,,Hace ejercicio para mantener el cuerpo sano.,cuerpo_salud,"<img src=""10a27e92.jpg"">",[sound:10a27e92.mp3]
1dd0e5bf,culo,noun,♂,ass,,Se cayó de la bicicleta y se golpeó el culo.,cuerpo_salud,"<img src=""1dd0e5bf.jpg"">",[sound:1dd0e5bf.mp3]
5d0a6767,dedo,noun,♂,finger,,Se cortó el dedo cortando verduras para la cena.,cuerpo_salud,"<img src=""5d0a6767.jpg"">",[sound:5d0a6767.mp3]
3c0d6899,diente,noun,♂,tooth,,Se le rompió un diente al morder algo duro.,cuerpo_salud,"<img src=""3c0d6899.jpg"">",[sound:3c0d6899.mp3]
22794111,espalda,noun,♀,back,,Le duele la espalda de tanto trabajar frente al ordenador.,cuerpo_salud,"<img src=""22794111.jpg"">",[sound:22794111.mp3]
6eeeaf75,estómago,noun,♂,stomach,,Le duele el estómago después de comer tan rápido.,cuerpo_salud,"<img src=""6eeeaf75.jpg"">",[sound:6eeeaf75.mp3]
007e610c,frente,noun,♀,front,forehead,Tiene una cicatriz pequeña en la frente.,cuerpo_salud,"<img src=""007e610c.jpg"">",[sound:007e610c.mp3]
e26a5cfd,garganta,noun,♀,throat,,Le duele la garganta y no puede hablar bien.,cuerpo_salud,"<img src=""e26a5cfd.jpg"">",[sound:e26a5cfd.mp3]
439fa3b6,hueso,noun,♂,bone,,Se rompió un hueso esquiando en la montaña.,cuerpo_salud,"<img src=""439fa3b6.jpg"">",[sound:439fa3b6.mp3]
871e11b4,labio,noun,♂,lip,,Se puso crema en los labios porque los tenía secos.,cuerpo_salud,"<img src=""871e11b4.jpg"">",[sound:871e11b4.mp3]
6cd7d1c4,lengua,noun,♀,language,tongue,Se quemó la lengua al tomar la sopa demasiado caliente.,cuerpo_salud,"<img src=""6cd7d1c4.jpg"">",[sound:6cd7d1c4.mp3]
eeafbf4d,mama,noun,♀,breast,,Ella tuvo que ir a una revisión de mama la semana pasada.,cuerpo_salud,"<img src=""eeafbf4d.jpg"">",[sound:eeafbf4d.mp3]
5b4d7624,mano,noun,♀,hand,,Se lavó las manos antes de preparar la comida.,cuerpo_salud,"<img src=""5b4d7624.jpg"">",[sound:5b4d7624.mp3]
ea07bec1,muñeca,noun,♀,wrist,doll,Se lastimó la muñeca al caerse en el hielo.,cuerpo_salud,"<img src=""ea07bec1.jpg"">",[sound:ea07bec1.mp3]
500570d1,nariz,noun,♀,nose,,Tiene la nariz roja por el resfriado.,cuerpo_salud,"<img src=""500570d1.jpg"">",[sound:500570d1.mp3]
dfe75bd9,ojo,noun,♂,be careful,eye,Le entró algo en el ojo mientras caminaba por el parque.,cuerpo_salud,"<img src=""dfe75bd9.jpg"">",[sound:dfe75bd9.mp3]
f60c08ac,pecho,noun,♂,chest,,Sintió un dolor fuerte en el pecho y fue al hospital.,cuerpo_salud,"<img src=""f60c08ac.jpg"">",[sound:f60c08ac.mp3]
c85075e0,pelo,noun,♂,hair,,Se cortó el pelo antes de la entrevista de trabajo.,cuerpo_salud,"<img src=""c85075e0.jpg"">",[sound:c85075e0.mp3]
ea702ba4,pie,noun,♂,foot,,Se torció el pie jugando fútbol el fin de semana.,cuerpo_salud,"<img src=""ea702ba4.jpg"">",[sound:ea702ba4.mp3]
137dbdec,piel,noun,♀,skin,,Usa protector solar para cuidar la piel en la playa.,cuerpo_salud,"<img src=""137dbdec.jpg"">",[sound:137dbdec.mp3]
5db73634,pierna,noun,♀,leg,,Se lesionó la pierna corriendo la media maratón.,cuerpo_salud,"<img src=""5db73634.jpg"">",[sound:5db73634.mp3]
69eacd1c,rodilla,noun,♀,knee,,Le duele la rodilla cuando sube las escaleras.,cuerpo_salud,"<img src=""69eacd1c.jpg"">",[sound:69eacd1c.mp3]
2d2be6d4,rostro,noun,♂,face,,Tenía el rostro cansado después del vuelo tan largo.,cuerpo_salud,"<img src=""2d2be6d4.jpg"">",[sound:2d2be6d4.mp3]
cc5bd058,sangre,noun,♀,blood,,El médico le sacó sangre para hacer los análisis.,cuerpo_salud,"<img src=""cc5bd058.jpg"">",[sound:cc5bd058.mp3]
de2d4dba,sexo,noun,♂,sex,,En el formulario debes indicar tu sexo y fecha de nacimiento.,cuerpo_salud,"<img src=""de2d4dba.jpg"">",[sound:de2d4dba.mp3]
d9c4b808,teta,noun,♀,boob,,El bebé llora porque tiene hambre y quiere teta.,cuerpo_salud,"<img src=""d9c4b808.jpg"">",[sound:d9c4b808.mp3]
430c414a,voz,noun,♀,voice,,Perdió la voz después de gritar en el concierto.,cuerpo_salud,"<img src=""430c414a.jpg"">",[sound:430c414a.mp3]
ae1feb6d,alegría,noun,♀,joy,,Sintió una gran alegría cuando le dieron el trabajo.,emociones,"<img src=""ae1feb6d.jpg"">",[sound:ae1feb6d.mp3]
5da2297b,amor,noun,♂,love,,El amor que siente por su familia es evidente.,emociones,"<img src=""5da2297b.jpg"">",[sound:5da2297b.mp3]
232c9a45,aprecio,noun,♂,appreciation,,Le mostró su aprecio con un regalo sencillo.,emociones,"<img src=""232c9a45.jpg"">",[sound:232c9a45.mp3]
8b989b06,asco,noun,♂,disgusting,disgust,Le dio asco la comida que sirvieron en el avión.,emociones,"<img src=""8b989b06.jpg"">",[sound:8b989b06.mp3]
80c71aa5,beso,noun,♂,kiss,,Le dio un beso de despedida en el aeropuerto.,emociones,"<img src=""80c71aa5.jpg"">",[sound:80c71aa5.mp3]
9583efc7,calma,noun,♀,calm down,calmness,Mantuvo la calma durante toda la negociación.,emociones,"<img src=""9583efc7.jpg"">",[sound:9583efc7.mp3]
282e0317,cariño,noun,♂,honey,affection,Le trata con mucho cariño a pesar de las dificultades.,emociones,"<img src=""282e0317.jpg"">",[sound:282e0317.mp3]
99be2bf3,confianza,noun,♀,trust,,Necesita confianza en sí mismo para la entrevista.,emociones,"<img src=""99be2bf3.jpg"">",[sound:99be2bf3.mp3]
6a15b615,culpa,noun,♀,guilt,,Sintió culpa por haber llegado tarde a la reunión.,emociones,"<img src=""6a15b615.jpg"">",[sound:6a15b615.mp3]
56dce5f9,curiosidad,noun,♀,curiosity,,Tenía curiosidad por saber cómo terminaba la película.,emociones,"<img src=""56dce5f9.jpg"">",[sound:56dce5f9.mp3]
c06593d4,deseo,noun,♂,desire,,Su deseo de viajar por el mundo lo llevó a ahorrar dinero.,emociones,"<img src=""c06593d4.jpg"">",[sound:c06593d4.mp3]
8a696cce,diversión,noun,♀,fun,,El viaje fue una fuente de diversión para toda la familia.,emociones,"<img src=""8a696cce.jpg"">",[sound:8a696cce.mp3]
6c5d50e7,esperanza,noun,♀,hope,,Tiene esperanza de conseguir un mejor trabajo pronto.,emociones,"<img src=""6c5d50e7.jpg"">",[sound:6c5d50e7.mp3]
ef4f3d00,felicidad,noun,♀,happiness,,La felicidad de sus hijos es lo más importante para ella.,emociones,"<img src=""ef4f3d00.jpg"">",[sound:ef4f3d00.mp3]
57e6e9b3,gana,noun,♀,desire,urge,No tiene ganas de ir a trabajar hoy.,emociones,"<img src=""57e6e9b3.jpg"">",[sound:57e6e9b3.mp3]
acd11338,genio,noun,♂,genius,temper,Tiene mal genio cuando no ha dormido bien.,emociones,"<img src=""acd11338.jpg"">",[sound:acd11338.mp3]
66281aa9,gusto,noun,♂,taste,"pleasure, liking",Fue un gusto conocerte en la conferencia.,emociones,"<img src=""66281aa9.jpg"">",[sound:66281aa9.mp3]
7a5b5501,humor,noun,♂,humor,mood,Está de mal humor porque perdió el vuelo.,emociones,"<img src=""7a5b5501.jpg"">",[sound:7a5b5501.mp3]
3c67080a,ira,noun,♀,anger,,No pudo controlar la ira después de la discusión.,emociones,"<img src=""3c67080a.jpg"">",[sound:3c67080a.mp3]
086ede8c,lamento,noun,♂,regret,"lament, sorrow",Expresó su lamento por no haber llegado a tiempo.,emociones,"<img src=""086ede8c.jpg"">",[sound:086ede8c.mp3]
0d8666f6,locura,noun,♀,madness,,Fue una locura viajar sin reservar el hotel primero.,emociones,"<img src=""0d8666f6.jpg"">",[sound:0d8666f6.mp3]
71ef6fbf,lágrima,noun,♀,teardrop,tear,Una lágrima le cayó por la mejilla durante la despedida.,emociones,"<img src=""71ef6fbf.jpg"">",[sound:71ef6fbf.mp3]
49d65297,lástima,noun,♀,pity,shame,Es una lástima que no puedas venir a la boda.,emociones,"<img src=""49d65297.jpg"">",[sound:49d65297.mp3]
a830de01,miedo,noun,♂,fear,,Tiene miedo de hablar en público.,emociones,"<img src=""a830de01.jpg"">",[sound:a830de01.mp3]
81defa8f,odio,noun,♂,hate,,El odio no lleva a ninguna solución positiva.,emociones,"<img src=""81defa8f.jpg"">",[sound:81defa8f.mp3]
83dc2f83,orgullo,noun,♂,pride,,Sintió mucho orgullo cuando se graduó de la universidad.,emociones,"<img src=""83dc2f83.jpg"">",[sound:83dc2f83.mp3]
0a8afdf2,paciencia,noun,♀,patience,,Necesita mucha paciencia para trabajar con niños todo el día.,emociones,"<img src=""0a8afdf2.jpg"">",[sound:0a8afdf2.mp3]
1b89cf2b,pasión,noun,♀,passion,,Su pasión por la música lo llevó a formar una banda.,emociones,"<img src=""1b89cf2b.jpg"">",[sound:1b89cf2b.mp3]
e003268a,paz,noun,♀,peace,,"Después de meditar, sintió una gran paz interior.",emociones,"<img src=""e003268a.jpg"">",[sound:e003268a.mp3]
27e110c1,pena,noun,♀,sadness,"shame, sorrow",Sintió mucha pena cuando se despidió de sus amigos.,emociones,"<img src=""27e110c1.jpg"">",[sound:27e110c1.mp3]
e8a90e5e,pesadilla,noun,♀,nightmare,,Tuvo una pesadilla horrible la noche antes del examen.,emociones,"<img src=""e8a90e5e.jpg"">",[sound:e8a90e5e.mp3]
5229e93d,pesar,noun,♂,grief,,Su pesar por la muerte del abuelo duró varios meses.,emociones,"<img src=""5229e93d.jpg"">",[sound:5229e93d.mp3]
379b7307,placer,noun,♂,pleasure,,Fue un placer trabajar con un equipo tan profesional.,emociones,"<img src=""379b7307.jpg"">",[sound:379b7307.mp3]
be77f38e,prisa,noun,♀,hurry,rush,Tiene prisa porque el avión sale en una hora.,emociones,"<img src=""be77f38e.jpg"">",[sound:be77f38e.mp3]
7a6535c5,pánico,noun,♂,panic,,Le entró pánico cuando se dio cuenta de que había perdido el pasaporte.,emociones,"<img src=""7a6535c5.jpg"">",[sound:7a6535c5.mp3]
916f6e8f,pecado,noun,♂,sin,,Consideraba un pecado desperdiciar tanta comida.,religion,"<img src=""916f6e8f.jpg"">",[sound:916f6e8f.mp3]
f5eb7cac,pérdida,noun,♀,loss,,La pérdida de su trabajo lo afectó mucho emocionalmente.,emociones,"<img src=""f5eb7cac.jpg"">",[sound:f5eb7cac.mp3]
b62003dd,sensación,noun,♀,sensation,,Tuvo una sensación extraña al entrar en la casa vacía.,emociones,"<img src=""b62003dd.jpg"">",[sound:b62003dd.mp3]
be981124,sentimiento,noun,♂,feeling,,No supo cómo expresar sus sentimientos por ella.,emociones,"<img src=""be981124.jpg"">",[sound:be981124.mp3]
cea0cbb6,sonrisa,noun,♀,smile,,Su sonrisa iluminó toda la habitación.,emociones,"<img src=""cea0cbb6.jpg"">",[sound:cea0cbb6.mp3]
59e0f98e,sorpresa,noun,♀,surprise,,Le organizaron una fiesta sorpresa por su cumpleaños.,emociones,"<img src=""59e0f98e.jpg"">",[sound:59e0f98e.mp3]
3fb12df0,sueño,noun,♂,sleep,dream,Su sueño es abrir su propio restaurante algún día.,emociones,"<img src=""3fb12df0.jpg"">",[sound:3fb12df0.mp3]
8f586855,vergüenza,noun,♀,shame,,Sintió vergüenza cuando se equivocó delante de todos.,emociones,"<img src=""8f586855.jpg"">",[sound:8f586855.mp3]
ae98cb4b,acuerdo,noun,♂,agreement,deal,El equipo llegó a un acuerdo sobre el nuevo proyecto.,trabajo,"<img src=""ae98cb4b.jpg"">",[sound:ae98cb4b.mp3]
863c922a,adiós,noun,♂,goodbye,,Le dijo adiós a su familia antes de subir al avión.,comunicacion,"<img src=""863c922a.jpg"">",[sound:863c922a.mp3]
803155e6,alemán,noun,♂,german,German language,Su jefe es alemán y siempre llega puntual a las reuniones.,nacionalidades,"<img src=""803155e6.jpg"">",[sound:803155e6.mp3]
992c2cfe,análisis,noun,♂,analysis,,El análisis de los datos reveló un aumento en las ventas.,pensamiento_cognicion,"<img src=""992c2cfe.jpg"">",[sound:992c2cfe.mp3]
934d8a87,atención,noun,♀,attention,,Presta atención a las instrucciones antes de empezar.,pensamiento_cognicion,"<img src=""934d8a87.jpg"">",[sound:934d8a87.mp3]
c27c4bfe,aviso,noun,♂,notice,warning,Recibió un aviso de que el vuelo se había retrasado.,comunicacion,"<img src=""c27c4bfe.jpg"">",[sound:c27c4bfe.mp3]
ea97629a,broma,noun,♀,joke,,Le gastó una broma a su compañero de trabajo.,comunicacion,"<img src=""ea97629a.jpg"">",[sound:ea97629a.mp3]
a641ff22,carta,noun,♀,letter,menu,Escribió una carta para agradecerle su ayuda.,comunicacion,"<img src=""a641ff22.jpg"">",[sound:a641ff22.mp3]
3f66a5c2,conciencia,noun,♀,awareness,conscience,Tomó conciencia del problema después de leer el informe.,pensamiento_cognicion,"<img src=""3f66a5c2.jpg"">",[sound:3f66a5c2.mp3]
466c60cc,conocimiento,noun,♂,knowledge,,Tiene mucho conocimiento sobre historia del arte.,educacion,"<img src=""466c60cc.jpg"">",[sound:466c60cc.mp3]
e0fac37e,consejo,noun,♂,advice,,Le dio un consejo útil sobre cómo ahorrar dinero.,comunicacion,"<img src=""e0fac37e.jpg"">",[sound:e0fac37e.mp3]
0d87b5c7,contacto,noun,♂,contact,,Guardó el contacto del nuevo cliente en su teléfono.,comunicacion,"<img src=""0d87b5c7.jpg"">",[sound:0d87b5c7.mp3]
609251c4,conversación,noun,♀,conversation,,Tuvieron una conversación larga sobre el futuro de la empresa.,comunicacion,"<img src=""609251c4.jpg"">",[sound:609251c4.mp3]
531ac502,correo,noun,♂,mail,email,Revisó su correo antes de empezar a trabajar.,comunicacion,"<img src=""531ac502.jpg"">",[sound:531ac502.mp3]
ca30965f,cuestión,noun,♀,question,"issue, matter",Es una cuestión importante que debemos discutir en la reunión.,pensamiento_cognicion,"<img src=""ca30965f.jpg"">",[sound:ca30965f.mp3]
ed902344,decisión,noun,♀,decision,,Tomó la decisión de cambiar de trabajo este año.,pensamiento_cognicion,"<img src=""ed902344.jpg"">",[sound:ed902344.mp3]
a0b8829d,disculpa,noun,♀,excuse me,apology,Ofreció una disculpa sincera por el error.,comunicacion,"<img src=""a0b8829d.jpg"">",[sound:a0b8829d.mp3]
40b366e9,discurso,noun,♂,speech,,El director dio un discurso motivador a todo el equipo.,comunicacion,"<img src=""40b366e9.jpg"">",[sound:40b366e9.mp3]
0596029a,duda,noun,♀,doubt,,Tiene dudas sobre si aceptar la oferta de trabajo.,pensamiento_cognicion,"<img src=""0596029a.jpg"">",[sound:0596029a.mp3]
2f1767dc,ejemplo,noun,♂,example,,El profesor puso un ejemplo claro para explicar la gramática.,educacion,"<img src=""2f1767dc.jpg"">",[sound:2f1767dc.mp3]
ff78f12c,excusa,noun,♀,excuse,,Puso una excusa para no ir a la fiesta.,comunicacion,"<img src=""ff78f12c.jpg"">",[sound:ff78f12c.mp3]
3f02d026,explicación,noun,♀,explanation,,Necesita una explicación clara sobre el cambio de horario.,comunicacion,"<img src=""3f02d026.jpg"">",[sound:3f02d026.mp3]
047fb904,favor,noun,♂,please,favor,Le pidió un favor a su compañero de trabajo.,comunicacion,"<img src=""047fb904.jpg"">",[sound:047fb904.mp3]
253c6b96,felicitación,noun,♀,congratulations,,Recibió muchas felicitaciones por su ascenso en el trabajo.,comunicacion,"<img src=""253c6b96.jpg"">",[sound:253c6b96.mp3]
3e0a5f7e,gracias,noun,♀,thank you,,Le dio las gracias por toda su ayuda durante el proyecto.,comunicacion,"<img src=""3e0a5f7e.jpg"">",[sound:3e0a5f7e.mp3]
504e5534,habla,noun,♀,speak,speech,El habla de esa región tiene un acento muy particular.,comunicacion,"<img src=""504e5534.jpg"">",[sound:504e5534.mp3]
7967791d,historia,noun,♀,history,story,Le contó una historia interesante sobre su viaje a Perú.,educacion,"<img src=""7967791d.jpg"">",[sound:7967791d.mp3]
